# static electron correlations of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 S=1/2
# r, n=1.25, 1.33, 1.40, 1.50, 1.60, 1.66, 1.75, 1.80

1 -0.22638604020100500  -0.27466061306532702  -0.30341783919597998  -0.31899802010050265  -0.30341467839195962  -0.27465707035175885  -0.22571444723618075  -0.18768303517587948
2 0.15671657070707096  0.13957279797979813  9.3568656565656494E-002  -1.0247474747474741E-005  -9.3594747474747428E-002  -0.13961376262626279  -0.15950235858585871  -0.15184638888888904
3 -7.1254791878172644E-002  -2.7351624365482253E-003  6.2870411167512644E-002  0.10648021827411158  6.2842670050761384E-002  -2.7738832487309646E-003  -7.4656492385786755E-002  -0.10083545177664968
4 -3.9277908163265294E-003  -6.7740714285714418E-002  -7.5833607142857168E-002  1.0739795918367345E-005  7.5839423469387726E-002  6.7755948979591793E-002  8.8916326530612212E-004  -4.6056760204081580E-002
5 4.7118553846153786E-002  5.6567169230769203E-002  -4.1481538461538470E-004  -6.3915902564102567E-002  -3.8067179487179481E-004  5.6629502564102513E-002  4.5827917948717940E-002  1.0998051282051285E-003
6 -5.2220448453608216E-002  -2.6192525773195900E-003  5.0775804123711389E-002  -1.0623711340206173E-005  -5.0756881443298950E-002  2.6612113402061876E-003  5.3226494845360892E-002  3.2203479381443322E-002
7 2.8863937823834229E-002  -3.8111932642487037E-002  -2.6470616580310895E-002  4.5661481865285014E-002  -2.6492274611398976E-002  -3.8143067357512946E-002  3.1542067357512943E-002  4.3741507772020662E-002
8 3.8642343749999987E-003  3.5748786458333327E-002  -2.3834098958333338E-002  1.0520833333333329E-005  2.3800229166666700E-002  -3.5827192708333302E-002  -1.0417812500000000E-003  3.7573828125000007E-002
9 -2.7213696335078537E-002  -2.5703193717277477E-003  3.3612989528795850E-002  -3.5516157068062847E-002  3.3611994764397905E-002  -2.6131413612565479E-003  -2.5841403141361262E-002  1.9838052356020954E-002
10 3.1098552631578923E-002  -2.6231894736842083E-002  4.6006315789473725E-004  -1.0399999999999985E-005  -4.2660526315789487E-004  2.6277089473684227E-002  -3.1933142105263136E-002  -1.2702315789473678E-003
